City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
6,Tiarei,PF,78.82,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
12,Jishou,CN,78.33,overcast clouds,28.3167,109.7167,7 Days Inn
20,Victoria,HK,87.85,moderate rain,22.2855,114.1577,Mini Hotel Central
22,Atuona,PF,79.34,clear sky,-9.8,-139.0333,Villa Enata
25,Ciudad Bolivar,VE,79.14,overcast clouds,8.1222,-63.5497,Hotel Edi
26,Rikitea,PF,75.07,broken clouds,-23.1203,-134.9692,Pension Maro'i
47,Lorengau,PG,83.43,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Itaituba,BR,77.63,broken clouds,-4.2761,-55.9836,Hotel Campos
67,Pangai,TO,78.91,light rain,-19.8,-174.35,Ha'apai Beach Resort
74,Axim,GH,78.84,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
84,Katsuura,JP,78.24,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
85,Komsomolskiy,UZ,81.82,clear sky,40.4272,71.7189,Ikathouse
86,Auki,SB,82.47,overcast clouds,-8.7676,160.7034,Auki Motel
91,Airai,TL,75.02,overcast clouds,-8.9266,125.4092,Juvinal Martin
95,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
96,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
98,Cabo San Lucas,MX,82.81,clear sky,22.8909,-109.9124,Tesoro Los Cabos
106,Bengkulu,ID,83.89,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
112,Changtu,CN,78.37,broken clouds,42.7788,124.0955,Ming Yang Inn
113,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
116,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
118,Hobyo,SO,79.0,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
120,Sinnamary,GF,76.78,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
122,Calabozo,VE,78.06,broken clouds,8.9242,-67.4293,Hotel Giardini
124,Kapaa,US,83.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
129,Bull Savanna,JM,75.54,overcast clouds,17.8868,-77.5902,Big Red's
133,Faanui,PF,79.27,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Hilo,US,82.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
136,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
139,Yarada,IN,88.12,broken clouds,17.65,83.2667,Jeevan
144,Siparia,TT,80.08,broken clouds,10.1333,-61.5,Brook Gardens
147,Salalah,OM,83.28,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
150,Kpandu,GH,77.59,broken clouds,6.9954,0.2931,Emo House
152,Tabou,CI,78.12,overcast clouds,4.423,-7.3528,hotêl doufoulougou
159,Beyneu,KZ,83.35,broken clouds,45.3167,55.2,NUR
160,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
161,Awbari,LY,79.05,clear sky,26.5921,12.7805,فندق أوباري
164,Bonthe,SL,77.02,moderate rain,7.5264,-12.505,Bonthe Holiday Village
170,Butaritari,KI,83.14,light rain,3.0707,172.7902,Isles Sunset Lodge
175,Port Blair,IN,85.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Luwuk,ID,84.52,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
184,Sakakah,SA,78.37,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
