City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,75.25,64,40,3.44,scattered clouds
1,Busselton,AU,-33.65,115.3333,58.08,71,100,12.97,overcast clouds
2,Viedma,AR,-40.8135,-62.9967,58.48,53,100,25.32,overcast clouds
3,Albany,US,42.6001,-73.9662,48.38,94,100,4.74,overcast clouds
4,Atikokan,CA,48.7555,-91.6216,45.43,96,100,4.72,overcast clouds
5,Tessalit,ML,20.1986,1.0114,90.7,10,59,8.3,broken clouds
6,Tiarei,PF,-17.5333,-149.3333,78.82,68,87,16.44,overcast clouds
7,Qaanaaq,GL,77.484,-69.3632,29.66,93,100,4.29,overcast clouds
8,Carnarvon,AU,-24.8667,113.6333,68.07,64,47,10.36,scattered clouds
9,Jalu,LY,29.0331,21.5482,74.37,46,0,12.41,clear sky
10,Rurrenabaque,BO,-14.4413,-67.5278,70.99,99,98,2.13,overcast clouds
11,Guerrero Negro,MX,27.9769,-114.0611,59.9,80,0,14.27,clear sky
12,Jishou,CN,28.3167,109.7167,78.33,71,94,1.19,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,73.54,88,3,4,clear sky
14,Grindavik,IS,63.8424,-22.4338,43.27,93,75,21.59,light rain
15,Castro,BR,-24.7911,-50.0119,56.64,99,100,2.28,overcast clouds
16,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,5,5.48,clear sky
17,Bluff,NZ,-46.6,168.3333,49.8,87,100,17.76,overcast clouds
18,Saldanha,ZA,-33.0117,17.9442,50.05,87,51,5.48,broken clouds
19,Suileng,CN,47.25,127.0833,74.39,37,83,8.12,broken clouds
20,Victoria,HK,22.2855,114.1577,87.85,87,100,15.99,moderate rain
21,Ketchikan,US,55.3422,-131.6461,54.07,94,90,10.36,overcast clouds
22,Atuona,PF,-9.8,-139.0333,79.34,69,2,10.85,clear sky
23,Longyearbyen,SJ,78.2186,15.6401,33.64,75,90,11.5,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,49.48,97,100,5.5,overcast clouds
25,Ciudad Bolivar,VE,8.1222,-63.5497,79.14,75,98,6.26,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,75.07,69,56,11.54,broken clouds
27,Ushuaia,AR,-54.8,-68.3,28.06,100,75,8.05,broken clouds
28,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,100,4.16,overcast clouds
29,Khatanga,RU,71.9667,102.5,57.27,61,88,12.91,overcast clouds
30,Kodiak,US,57.79,-152.4072,47.71,76,90,10.36,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,49,20,5.75,few clouds
32,Punta Arenas,CL,-53.15,-70.9167,32.11,74,75,7,broken clouds
33,Upernavik,GL,72.7868,-56.1549,30.33,97,100,3.31,light snow
34,Cherskiy,RU,68.75,161.3,64.58,29,2,2.33,clear sky
35,Adrar,MR,20.5022,-10.0711,88.34,29,100,14.61,overcast clouds
36,Clyde River,CA,70.4692,-68.5914,23.23,93,90,0,overcast clouds
37,East London,ZA,-33.0153,27.9116,52.74,76,0,8.05,clear sky
38,Mount Gambier,AU,-37.8333,140.7667,55.31,54,100,12.66,overcast clouds
39,Smithers,CA,54.7804,-127.1743,53.92,87,90,2.3,overcast clouds
40,Yellowknife,CA,62.456,-114.3525,50.52,53,40,1.01,scattered clouds
41,Shanhetun,CN,44.7,127.2,74.75,35,74,4.61,broken clouds
