City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-05-29 22:12:17,-21.2078,-159.775,78.85,61,20,4.61
1,Carnarvon,AU,2021-05-29 22:12:18,-24.8667,113.6333,57.27,94,3,5.75
2,Te Anau,NZ,2021-05-29 22:12:18,-45.4167,167.7167,46.4,95,100,7.45
3,Jamestown,US,2021-05-29 22:07:36,42.097,-79.2353,53.19,84,90,5.99
4,Khatanga,RU,2021-05-29 22:12:18,71.9667,102.5,39.61,75,97,8.84
5,Katsuura,JP,2021-05-29 22:12:19,35.1333,140.3,72.1,79,99,5.26
6,Kapaa,US,2021-05-29 22:12:19,22.0752,-159.319,82.47,66,20,1.99
7,Qaanaaq,GL,2021-05-29 22:12:19,77.484,-69.3632,30.4,94,57,6.55
8,Puerto Ayora,EC,2021-05-29 22:12:20,-0.7393,-90.3518,82.36,85,48,10.0
9,Lata,PT,2021-05-29 22:12:20,40.1629,-8.3327,62.04,97,2,1.99
10,Rikitea,PF,2021-05-29 22:12:20,-23.1203,-134.9692,76.95,86,96,20.65
11,Souillac,MU,2021-05-29 22:12:21,-20.5167,57.5167,74.35,90,12,7.18
12,Tiksi,RU,2021-05-29 22:12:21,71.6872,128.8694,32.52,94,83,10.45
13,Kahului,US,2021-05-29 22:12:21,20.8947,-156.47,86.02,62,40,11.5
14,Petropavlovsk-Kamchatskiy,RU,2021-05-29 22:10:34,53.0452,158.6483,45.19,71,75,2.42
15,Thaba Nchu,ZA,2021-05-29 22:12:22,-29.2093,26.839,39.85,59,61,3.06
16,Punta Arenas,CL,2021-05-29 22:12:13,-53.15,-70.9167,35.71,55,40,19.08
17,Portland,US,2021-05-29 22:10:23,45.5234,-122.6762,82.85,37,20,4.0
18,Lompoc,US,2021-05-29 22:12:22,34.6391,-120.4579,71.02,68,75,19.57
19,Escanaba,US,2021-05-29 22:12:23,45.7453,-87.0646,69.67,49,1,6.91
20,Port-Gentil,GA,2021-05-29 22:12:23,-0.7193,8.7815,79.18,85,86,10.54
21,Ushuaia,AR,2021-05-29 22:09:18,-54.8,-68.3,28.06,93,75,21.85
22,Bredasdorp,ZA,2021-05-29 22:12:23,-34.5322,20.0403,53.28,90,36,2.66
23,Goose Creek,US,2021-05-29 22:12:24,32.981,-80.0326,84.42,70,40,5.99
24,Faanui,PF,2021-05-29 22:12:24,-16.4833,-151.75,79.95,68,21,7.25
25,Yar-Sale,RU,2021-05-29 22:12:24,66.8333,70.8333,42.85,73,60,8.68
26,Cape Town,ZA,2021-05-29 22:10:07,-33.9258,18.4232,57.11,89,14,1.57
27,Pemangkat,ID,2021-05-29 22:12:25,1.1667,108.9667,77.41,89,100,5.21
28,Lagoa,PT,2021-05-29 22:12:25,39.05,-27.9833,63.19,80,50,7.11
29,Barrow,US,2021-05-29 22:12:26,71.2906,-156.7887,28.42,86,90,11.5
30,Gwadar,PK,2021-05-29 22:12:26,25.1216,62.3254,83.89,82,14,10.63
31,Albany,US,2021-05-29 22:07:33,42.6001,-73.9662,52.84,71,100,3.51
32,Santana,BR,2021-05-29 22:12:26,-0.0583,-51.1817,84.38,84,40,4.74
33,Bambous Virieux,MU,2021-05-29 22:12:27,-20.3428,57.7575,74.21,82,40,5.82
34,Iralaya,HN,2021-05-29 22:12:27,15.0,-83.2333,87.89,69,9,9.1
35,Mareeba,AU,2021-05-29 22:12:27,-17.0,145.4333,65.44,83,52,2.48
36,Atuona,PF,2021-05-29 22:12:28,-9.8,-139.0333,78.94,72,13,9.17
37,Dingle,PH,2021-05-29 22:12:28,10.9995,122.6711,78.58,89,96,2.17
38,Castro,BR,2021-05-29 22:12:28,-24.7911,-50.0119,67.55,69,57,4.92
39,Vila Franca Do Campo,PT,2021-05-29 22:12:29,37.7167,-25.4333,64.81,85,52,6.11
40,Coffs Harbour,AU,2021-05-29 22:12:29,-30.3,153.1333,58.96,67,40,17.27
41,Umm Lajj,SA,2021-05-29 22:12:29,25.0213,37.2685,84.33,64,100,17.34
42,Lebu,CL,2021-05-29 22:10:11,-37.6167,-73.65,50.16,74,58,7.78
43,Jacareacanga,BR,2021-05-29 22:12:30,-6.2222,-57.7528,81.63,61,39,1.39
44,Egvekinot,RU,2021-05-29 22:12:30,66.3167,-179.1667,39.54,47,66,4.14
45,Butaritari,KI,2021-05-29 22:12:31,3.0707,172.7902,82.49,79,100,14.74
46,Mataura,NZ,2021-05-29 22:12:31,-46.1927,168.8643,49.48,95,100,3.8
47,Port Alfred,ZA,2021-05-29 22:12:31,-33.5906,26.891,59.56,76,96,14.25
48,Kaeo,NZ,2021-05-29 22:12:32,-35.1,173.7833,55.33,94,86,8.16
49,Naze,JP,2021-05-29 22:12:32,28.3667,129.4833,65.32,90,100,6.64
50,Yellowknife,CA,2021-05-29 22:10:10,62.456,-114.3525,54.32,34,99,1.99
51,Sola,VU,2021-05-29 22:12:33,-13.8833,167.55,78.06,74,100,13.78
52,Tasiilaq,GL,2021-05-29 22:12:33,65.6145,-37.6368,37.56,93,100,12.73
53,Manjacaze,MZ,2021-05-29 22:09:17,-24.7117,33.8828,62.94,93,0,2.62
54,Mahebourg,MU,2021-05-29 22:12:33,-20.4081,57.7,74.25,83,27,6.11
55,Hobart,AU,2021-05-29 22:08:42,-42.8794,147.3294,47.26,79,75,1.99
56,Manono,CD,2021-05-29 22:12:34,-7.3,27.4167,66.51,42,63,3.67
57,Saldanha,ZA,2021-05-29 22:12:34,-33.0117,17.9442,58.35,84,9,6.73
58,Anadyr,RU,2021-05-29 22:12:34,64.75,177.4833,48.7,40,0,2.26
59,Amahai,ID,2021-05-29 22:12:35,-3.3333,128.9167,77.67,87,100,2.1
60,Ambunti,PG,2021-05-29 22:12:35,-4.2365,142.8448,76.41,97,97,0.89
61,Yulara,AU,2021-05-29 22:12:35,-25.2406,130.9889,44.44,70,99,5.75
62,Viedma,AR,2021-05-29 22:12:36,-40.8135,-62.9967,47.25,44,12,14.99
63,Malanje,AO,2021-05-29 22:12:36,-9.5402,16.341,62.64,54,28,2.57
64,Hasaki,JP,2021-05-29 22:12:37,35.7333,140.8333,68.4,82,99,11.05
65,Vaini,TO,2021-05-29 22:12:37,-21.2,-175.2,77.16,88,75,2.3
66,San Patricio,US,2021-05-29 22:12:37,28.017,-97.5169,84.87,68,56,8.97
67,Tres Picos,MX,2021-05-29 22:12:38,15.8667,-93.5333,85.3,68,96,5.84
68,Ribeira Grande,PT,2021-05-29 22:12:38,38.5167,-28.7,64.22,80,44,6.85
69,Galle,LK,2021-05-29 22:12:38,6.0367,80.217,80.31,84,57,16.64
70,Arona,ES,2021-05-29 22:12:39,28.0996,-16.681,63.12,68,20,4.23
71,Rio Grande,BR,2021-05-29 22:12:39,-32.035,-52.0986,52.95,61,5,19.53
72,Chokurdakh,RU,2021-05-29 22:12:39,70.6333,147.9167,56.26,37,6,13.42
